epoch|Precision|Recall|accuracy|loss|lr|val_Precision|val_Recall|val_accuracy|val_loss
0|0.9141478538513184|0.8569047451019287|0.8871428370475769|0.33227571845054626|0.001|0.9690117239952087|0.9641666412353516|0.9641666412353516|0.09456927329301834
1|0.9420574307441711|0.9135714173316956|0.9283333420753479|0.22036409378051758|0.001|0.9706867933273315|0.965833306312561|0.9691666960716248|0.09020506590604782
2|0.9540618658065796|0.9395238161087036|0.9480952620506287|0.17087312042713165|0.001|0.9549248814582825|0.95333331823349|0.95333331823349|0.1514216810464859
3|0.9572773575782776|0.9442856907844543|0.9507142901420593|0.16701409220695496|0.001|0.9807531237602234|0.9766666889190674|0.9783333539962769|0.07864252477884293
4|0.9630429744720459|0.9554761648178101|0.9590476155281067|0.12768231332302094|0.001|0.9741235375404358|0.9725000262260437|0.9733333587646484|0.07945293933153152
5|0.9600385427474976|0.9495238065719604|0.9552381038665771|0.12860283255577087|0.001|0.947679340839386|0.9358333349227905|0.9399999976158142|0.1635126918554306
6|0.971250593662262|0.965238094329834|0.9676190614700317|0.1095067635178566|0.001|0.977405846118927|0.9733333587646484|0.9733333587646484|0.056235410273075104
7|0.9691165685653687|0.9638095498085022|0.9657142758369446|0.10418536514043808|0.001|0.9749582409858704|0.9733333587646484|0.9733333587646484|0.07994191348552704
8|0.9704965353012085|0.9633333086967468|0.967380940914154|0.10493721812963486|0.001|0.9816360473632812|0.9800000190734863|0.9800000190734863|0.06202605739235878
9|0.9744141697883606|0.9702380895614624|0.9730952382087708|0.09186608344316483|0.001|0.9824561476707458|0.9800000190734863|0.9816666841506958|0.05917356535792351
10|0.9711010456085205|0.9680952429771423|0.9695237874984741|0.09775057435035706|0.001|0.9766277074813843|0.9750000238418579|0.9758333563804626|0.07327060401439667
11|0.9775549173355103|0.9747619032859802|0.9766666889190674|0.07890275865793228|0.001|0.9741451144218445|0.9733333587646484|0.9733333587646484|0.08588635176420212
