epoch|Precision|Recall|accuracy|loss|lr|val_Precision|val_Recall|val_accuracy|val_loss
0|0.9074724316596985|0.8616666793823242|0.8847619295120239|0.35363587737083435|0.001|0.9496221542358398|0.9424999952316284|0.9441666603088379|0.19538015127182007
1|0.9458211660385132|0.9269047379493713|0.936904788017273|0.2074793130159378|0.001|0.9707112908363342|0.9666666388511658|0.9674999713897705|0.0940413549542427
2|0.9567632675170898|0.9430952668190002|0.9485714435577393|0.1728278398513794|0.001|0.9402356743812561|0.9308333396911621|0.9358333349227905|0.16031277179718018
3|0.960491418838501|0.9492856860160828|0.9538094997406006|0.14782334864139557|0.001|0.9740151166915894|0.9683333039283752|0.9683333039283752|0.09471741318702698
4|0.9672762155532837|0.9571428298950195|0.9621428847312927|0.1240069568157196|0.001|0.9790619611740112|0.9741666913032532|0.9766666889190674|0.0717661902308464
5|0.9632564783096313|0.9549999833106995|0.9602380990982056|0.14430096745491028|0.001|0.9200336933135986|0.9108333587646484|0.9175000190734863|0.25133129954338074
6|0.9705318808555603|0.9645237922668457|0.9669047594070435|0.11266521364450455|0.001|0.9740585684776306|0.9700000286102295|0.9708333611488342|0.08697077631950378
7|0.9684587717056274|0.9649999737739563|0.967380940914154|0.1026175394654274|0.001|0.9331103563308716|0.9300000071525574|0.9316666722297668|0.1992710679769516
8|0.9705106616020203|0.9638095498085022|0.9666666388511658|0.10223753750324249|0.001|0.9874895811080933|0.9866666793823242|0.987500011920929|0.05650755390524864
9|0.9748563170433044|0.9692857265472412|0.9711904525756836|0.10280345380306244|0.001|0.9707846641540527|0.9691666960716248|0.9708333611488342|0.08554251492023468
10|0.975843071937561|0.9714285731315613|0.9728571176528931|0.08490368723869324|0.001|0.9799498915672302|0.9775000214576721|0.9791666865348816|0.07181911170482635
11|0.9789724946022034|0.9754762053489685|0.9776190519332886|0.0808592438697815|0.001|0.97826087474823|0.9750000238418579|0.9775000214576721|0.09519527107477188
12|0.9784997701644897|0.9752380847930908|0.9769047498703003|0.07825060188770294|0.001|0.9799498915672302|0.9775000214576721|0.9783333539962769|0.07291293144226074
13|0.9773052930831909|0.9740476012229919|0.9757142663002014|0.07798421382904053|0.001|0.9665272235870361|0.9624999761581421|0.9649999737739563|0.11500788480043411
