epoch|Precision|Recall|accuracy|loss|lr|val_Precision|val_Recall|val_accuracy|val_loss
0|0.9214780330657959|0.8550000190734863|0.8933333158493042|0.34844771027565|0.001|0.9362950325012207|0.9308333396911621|0.9325000047683716|0.19905997812747955
1|0.9402767419815063|0.9221428632736206|0.9321428537368774|0.221854567527771|0.001|0.9721988439559937|0.9616666436195374|0.9683333039283752|0.0989110916852951
2|0.9553031921386719|0.941428542137146|0.9483333230018616|0.1797785609960556|0.001|0.9498327970504761|0.9466666579246521|0.9491666555404663|0.16034115850925446
3|0.9573082327842712|0.9449999928474426|0.9528571367263794|0.1602843552827835|0.001|0.9765493869781494|0.971666693687439|0.9733333587646484|0.0812908336520195
4|0.9634615182876587|0.954285740852356|0.959761917591095|0.1413857340812683|0.001|0.9556114077568054|0.9508333206176758|0.95333331823349|0.14552100002765656
5|0.9632564783096313|0.9549999833106995|0.9607142806053162|0.13042838871479034|0.001|0.9387069940567017|0.9316666722297668|0.9350000023841858|0.20971925556659698
6|0.9695589542388916|0.9630952477455139|0.9657142758369446|0.11145038157701492|0.001|0.9757525324821472|0.9725000262260437|0.9733333587646484|0.08484286069869995
7|0.969131350517273|0.9642857313156128|0.9666666388511658|0.10585065186023712|0.001|0.9615384340286255|0.9583333134651184|0.9583333134651184|0.12019630521535873
8|0.97513747215271|0.9711904525756836|0.9740476012229919|0.09875065833330154|0.001|0.9833055138587952|0.9816666841506958|0.9825000166893005|0.04772975295782089
9|0.9756155610084534|0.971666693687439|0.973809540271759|0.09328003972768784|0.001|0.9356187582015991|0.9325000047683716|0.934166669845581|0.20374169945716858
10|0.9741255640983582|0.9680952429771423|0.9711904525756836|0.09658098965883255|0.001|0.9774812459945679|0.9766666889190674|0.9775000214576721|0.06367453187704086
11|0.9758777022361755|0.9728571176528931|0.9750000238418579|0.08301063627004623|0.001|0.9866443872451782|0.9850000143051147|0.9850000143051147|0.04635660722851753
12|0.9816229343414307|0.979285717010498|0.9811905026435852|0.07128900289535522|0.001|0.9850000143051147|0.9850000143051147|0.9850000143051147|0.044584970921278
13|0.9749343395233154|0.9723809361457825|0.973809540271759|0.08416450023651123|0.001|0.9850000143051147|0.9850000143051147|0.9850000143051147|0.05153804272413254
14|0.9806636571884155|0.9780952334403992|0.9797618985176086|0.06593545526266098|0.001|0.9733110666275024|0.9725000262260437|0.9725000262260437|0.1012687012553215
15|0.9796990752220154|0.9766666889190674|0.9783333539962769|0.07346437126398087|0.001|0.9816513657569885|0.9808333516120911|0.9816666841506958|0.05696200206875801
16|0.9789925813674927|0.9764285683631897|0.9776190519332886|0.073893241584301|0.001|0.9808173775672913|0.9800000190734863|0.9800000190734863|0.08286165446043015
17|0.9809160232543945|0.9790475964546204|0.9802380800247192|0.07232828438282013|0.001|0.9774624109268188|0.9758333563804626|0.9775000214576721|0.06328430026769638
