epoch|Precision|Recall|accuracy|loss|lr|val_Precision|val_Recall|val_accuracy|val_loss
0|0.9177680015563965|0.8928571343421936|0.904285728931427|0.2662029266357422|0.001|0.9648829698562622|0.9616666436195374|0.9633333086967468|0.10169178992509842
1|0.9469240307807922|0.9345238208770752|0.9409523606300354|0.17220720648765564|0.001|0.9647946357727051|0.9591666460037231|0.9633333086967468|0.09097487479448318
2|0.9546979665756226|0.9483333230018616|0.9519047737121582|0.14535817503929138|0.001|0.976490318775177|0.9691666960716248|0.9708333611488342|0.07225960493087769
3|0.9575845003128052|0.9514285922050476|0.9538094997406006|0.13393957912921906|0.001|0.9412751793861389|0.9350000023841858|0.9383333325386047|0.18023696541786194
4|0.9638410210609436|0.9583333134651184|0.9609524011611938|0.11721567809581757|0.001|0.9790970087051392|0.9758333563804626|0.9783333539962769|0.06914956122636795
5|0.9675185084342957|0.9645237922668457|0.9657142758369446|0.10326185077428818|0.001|0.9807531237602234|0.9766666889190674|0.9766666889190674|0.06332406401634216
6|0.9725274443626404|0.9692857265472412|0.9711904525756836|0.09316278249025345|0.001|0.9741019010543823|0.971666693687439|0.971666693687439|0.09390920400619507
7|0.9694583415985107|0.967380940914154|0.9685714244842529|0.10049515217542648|0.001|0.9521812200546265|0.9458333253860474|0.9474999904632568|0.15218739211559296
8|0.9732633233070374|0.970714271068573|0.9719047546386719|0.08410787582397461|0.001|0.9899749159812927|0.987500011920929|0.9883333444595337|0.04900289699435234
9|0.9777618646621704|0.9735714197158813|0.9754762053489685|0.07697425782680511|0.001|0.9749582409858704|0.9733333587646484|0.9741666913032532|0.0784434825181961
10|0.9742366671562195|0.9723809361457825|0.9728571176528931|0.08507316559553146|0.001|0.9849498271942139|0.9816666841506958|0.9816666841506958|0.05420227721333504
11|0.979012668132782|0.9773809313774109|0.9783333539962769|0.07500776648521423|0.001|0.9799330830574036|0.9766666889190674|0.9775000214576721|0.06610506772994995
12|0.9792263507843018|0.9764285683631897|0.977142870426178|0.07241544127464294|0.001|0.9732664823532104|0.9708333611488342|0.971666693687439|0.08858613669872284
13|0.9821087718009949|0.9802380800247192|0.9811905026435852|0.061347875744104385|0.001|0.9749582409858704|0.9733333587646484|0.9741666913032532|0.08508765697479248
